90,Fort McMurray Airport,89,YMM,CYMM
91,Moosonee Airport,90,YMO,CYMO
92,Maniwaki Airport,91,YMW,CYMW
93,Montreal International (Mirabel) Airport,71,YMX,CYMX
94,Natashquan Airport,92,YNA,CYNA
95,Ottawa / Gatineau Airport,93,YND,CYND
96,Matagami Airport,94,YNM,CYNM
97,Old Crow Airport,95,YOC,CYOC
98,CFB Cold Lake,96,YOD,CYOD
99,High Level Airport,97,YOJ,CYOJ
100,Ottawa Macdonald-Cartier International Airport,98,YOW,CYOW
101,Prince Albert Glass Field,99,YPA,CYPA
102,Peace River Airport,100,YPE,CYPE
103,Southport Airport,101,YPG,CYPG
104,Pitt Meadows Airport,102,\N,CYPK
105,Pickle Lake Airport,103,YPL,CYPL
106,Port Menier Airport,104,YPN,CYPN
107,Peterborough Airport,105,YPQ,CYPQ
108,Prince Rupert Airport,106,YPR,CYPR
109,Fort Chipewyan Airport,107,YPY,CYPY
110,Muskoka Airport,108,YQA,CYQA
111,Quebec Jean Lesage International Airport,109,YQB,CYQB
112,Red Deer Regional Airport,110,YQF,CYQF
113,Windsor Airport,111,YQG,CYQG
114,Watson Lake Airport,112,YQH,CYQH
115,Kenora Airport,113,YQK,CYQK
116,Lethbridge County Airport,114,YQL,CYQL
117,Greater Moncton International Airport,115,YQM,CYQM
119,Comox Airport,116,YQQ,CYQQ
120,Regina International Airport,117,YQR,CYQR
121,Thunder Bay Airport,118,YQT,CYQT
122,Grande Prairie Airport,119,YQU,CYQU
123,Yorkton Municipal Airport,120,YQV,CYQV
124,North Battleford Airport,121,YQW,CYQW
125,Gander International Airport,122,YQX,CYQX
126,Sydney / J.A. Douglas McCurdy Airport,123,YQY,CYQY
127,Quesnel Airport,124,YQZ,CYQZ
128,Resolute Bay Airport,125,YRB,CYRB
129,Rivière-du-Loup Airport,126,YRI,CYRI
130,Roberval Airport,127,YRJ,CYRJ
131,Rocky Mountain House Airport,128,YRM,CYRM
132,Rankin Inlet Airport,129,YRT,CYRT
133,Sudbury Airport,130,YSB,CYSB
134,Sherbrooke Airport,131,YSC,CYSC
135,Saint John Airport,132,YSJ,CYSJ
136,Fort Smith Airport,133,YSM,CYSM
137,Nanisivik Airport,134,YSR,CYSR
138,Summerside Airport,135,YSU,CYSU
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,136,YSY,CYSY
140,Cape Dorset Airport,137,YTE,CYTE
141,Thompson Airport,138,YTH,CYTH
142,CFB Trenton,139,YTR,CYTR
143,Timmins/Victor M. Power,140,YTS,CYTS
144,Billy Bishop Toronto City Centre Airport,81,YTZ,CYTZ
145,Tuktoyaktuk Airport,141,YUB,CYUB
146,Montreal / Pierre Elliott Trudeau International Airport,71,YUL,CYUL
147,Repulse Bay Airport,142,YUT,CYUT
148,Hall Beach Airport,143,YUX,CYUX
149,Rouyn Noranda Airport,144,YUY,CYUY
150,La Ronge Airport,145,YVC,CYVC
151,Vermilion Airport,146,YVG,CYVG
152,Qikiqtarjuaq Airport,147,YVM,CYVM
153,Val-d'Or Airport,148,YVO,CYVO
154,Kuujjuaq Airport,149,YVP,CYVP
155,Norman Wells Airport,150,YVQ,CYVQ
156,Vancouver International Airport,151,YVR,CYVR
157,Buffalo Narrows Airport,152,YVT,CYVT
158,Wiarton Airport,153,YVV,CYVV
159,Petawawa Airport,154,YWA,CYWA
160,Winnipeg / James Armstrong Richardson International Airport,22,YWG,CYWG
161,Wabush Airport,155,YWK,CYWK
162,Williams Lake Airport,156,YWL,CYWL
163,Wrigley Airport,157,YWY,CYWY
164,Cranbrook/Canadian Rockies International Airport,158,YXC,CYXC
165,Edmonton City Centre (Blatchford Field) Airport,49,YXD,CYXD
166,Saskatoon John G. Diefenbaker International Airport,159,YXE,CYXE
167,Medicine Hat Airport,160,YXH,CYXH
168,Fort St John Airport,161,YXJ,CYXJ
169,Sioux Lookout Airport,162,YXL,CYXL
170,Pangnirtung Airport,163,YXP,CYXP
171,Earlton (Timiskaming Regional) Airport,164,YXR,CYXR
172,Prince George Airport,165,YXS,CYXS
173,Northwest Regional Airport Terrace-Kitimat,166,YXT,CYXT
174,London Airport,167,YXU,CYXU
175,Abbotsford Airport,168,YXX,CYXX
176,Whitehorse / Erik Nielsen International Airport,169,YXY,CYXY
177,North Bay Jack Garland Airport,170,YYB,CYYB
178,Calgary International Airport,171,YYC,CYYC
179,Smithers Airport,172,YYD,CYYD
180,Fort Nelson Airport,173,YYE,CYYE
181,Penticton Airport,174,YYF,CYYF
182,Charlottetown Airport,175,YYG,CYYG
183,Taloyoak Airport,176,YYH,CYYH
184,Victoria International Airport,177,YYJ,CYYJ
185,Lynn Lake Airport,178,YYL,CYYL
186,Swift Current Airport,179,YYN,CYYN
187,Churchill Airport,180,YYQ,CYYQ
188,Goose Bay Airport,181,YYR,CYYR
189,St. John's International Airport,182,YYT,CYYT
190,Kapuskasing Airport,183,YYU,CYYU
191,Armstrong Airport,184,YYW,CYYW
192,Mont Joli Airport,185,YYY,CYYY
193,Lester B. Pearson International Airport,81,YYZ,CYYZ
194,Downsview Airport,81,YZD,CYZD
195,Gore Bay Manitoulin Airport,186,YZE,CYZE
196,Yellowknife Airport,187,YZF,CYZF
197,Slave Lake Airport,188,YZH,CYZH
198,Sandspit Airport,189,YZP,CYZP
199,Chris Hadfield Airport,190,YZR,CYZR
200,Port Hardy Airport,191,YZT,CYZT
201,Whitecourt Airport,192,YZU,CYZU
202,Sept-Îles Airport,193,YZV,CYZV
203,Teslin Airport,194,YZW,CYZW
204,CFB Greenwood,195,YZX,CYZX
205,Faro Airport,196,ZFA,CZFA
206,Fort Mcpherson Airport,197,ZFM,CZFM
207,Blida Airport,198,QLD,DAAB
208,Bou Saada Airport,199,BUJ,DAAD
209,Soummam Airport,200,BJA,DAAE
210,Houari Boumediene Airport,201,ALG,DAAG
211,Djanet Inedbirene Airport,202,DJG,DAAJ
212,Boufarik Airport,203,\N,DAAK
213,Reggane Airport,204,\N,DAAN
214,Illizi Takhamalt Airport,205,VVZ,DAAP
215,Ain Oussera Airport,206,\N,DAAQ
216,Aguenar – Hadj Bey Akhamok Airport,207,TMR,DAAT
217,Jijel Ferhat Abbas Airport,208,GJL,DAAV
218,Mecheria Airport,209,MZW,DAAY
219,Relizane Airport,210,\N,DAAZ
220,Rabah Bitat Airport,211,AAE,DABB
221,Mohamed Boudiaf International Airport,212,CZL,DABC
222,Cheikh Larbi Tébessi Airport,213,TEE,DABS
224,Hassi R'Mel Airport,214,HRM,DAFH
225,Bou Chekif Airport,215,TID,DAOB
226,Bou Sfer Airport,216,\N,DAOE
227,Tindouf Airport,217,TIN,DAOF
228,Ech Cheliff Airport,218,CFK,DAOI
229,Tafaraoui Airport,219,TAF,DAOL
230,Zenata – Messali El Hadj Airport,220,TLM,DAON
231,Es Senia Airport,219,ORN,DAOO
232,Sidi Bel Abbes Airport,221,BFW,DAOS
233,Ghriss Airport,222,MUW,DAOV
234,Touat Cheikh Sidi Mohamed Belkebir Airport,223,AZR,DAUA
235,Biskra Airport,224,BSK,DAUB
236,El Golea Airport,225,ELG,DAUE
237,Noumérat - Moufdi Zakaria Airport,226,GHA,DAUG
238,Oued Irara Airport,227,HME,DAUH
239,In Salah Airport,228,INZ,DAUI
240,Touggourt Sidi Madhi Airport,229,TGR,DAUK
241,Laghouat Airport,230,LOO,DAUL
242,Timimoun Airport,231,TMX,DAUT
243,Ain el Beida Airport,232,OGX,DAUU
244,In Aménas Airport,233,IAM,DAUZ
245,Cadjehoun Airport,234,COO,DBBB
246,Ouagadougou Airport,235,OUA,DFFD
247,Bobo Dioulasso Airport,236,BOY,DFOO
248,Kotoka International Airport,237,ACC,DGAA
249,Tamale Airport,238,TML,DGLE
250,Wa Airport,239,\N,DGLW
251,Sunyani Airport,240,NYI,DGSN
252,Takoradi Airport,241,TKD,DGTK
253,Port Bouet Airport,242,ABJ,DIAP
254,Bouaké Airport,243,BYK,DIBK
255,Daloa Airport,244,DJO,DIDL
256,Korhogo Airport,245,HGO,DIKO
257,Man Airport,246,MJC,DIMN
258,San Pedro Airport,247,SPY,DISP
259,Yamoussoukro Airport,248,ASK,DIYO
260,Nnamdi Azikiwe International Airport,249,ABV,DNAA
261,Akure Airport,250,AKR,DNAK
262,Benin Airport,251,BNI,DNBE
263,Margaret Ekpo International Airport,252,CBQ,DNCA
264,Akanu Ibiam International Airport,253,ENU,DNEN
265,Gusau Airport,254,\N,DNGU
266,Ibadan Airport,255,IBA,DNIB
267,Ilorin International Airport,256,ILR,DNIL
268,Yakubu Gowon Airport,257,JOS,DNJO
269,Kaduna Airport,258,KAD,DNKA
270,Mallam Aminu International Airport,259,KAN,DNKN
271,Maiduguri International Airport,260,MIU,DNMA
272,Makurdi Airport,261,MDI,DNMK
273,Murtala Muhammed International Airport,262,LOS,DNMM
274,Minna Airport,263,MXJ,DNMN
275,Port Harcourt International Airport,264,PHC,DNPO
276,Sadiq Abubakar III International Airport,265,SKO,DNSO
277,Yola Airport,266,YOL,DNYO
278,Zaria Airport,267,ZAR,DNZA
279,Maradi Airport,268,MFQ,DRRM
280,Diori Hamani International Airport,269,NIM,DRRN
281,Tahoua Airport,270,THZ,DRRT
282,Mano Dayak International Airport,271,AJY,DRZA
283,Dirkou Airport,272,\N,DRZD
284,Diffa Airport,273,\N,DRZF
285,Zinder Airport,274,ZND,DRZR
286,Monastir Habib Bourguiba International Airport,275,MIR,DTMB
287,Tunis Carthage International Airport,276,TUN,DTTA
288,Sidi Ahmed Air Base,277,\N,DTTB
289,Remada Air Base,278,\N,DTTD
290,Gafsa Ksar International Airport,279,GAF,DTTF
291,Gabès Matmata International Airport,280,GAE,DTTG
292,Borj El Amri Airport,281,\N,DTTI
293,Djerba Zarzis International Airport,282,DJE,DTTJ
294,El Borma Airport,283,EBM,DTTR
295,Sfax Thyna International Airport,284,SFA,DTTX
296,Tozeur Nefta International Airport,285,TOE,DTTZ
297,Niamtougou International Airport,286,LRL,DXNG
298,Lomé-Tokoin Airport,287,LFW,DXXX
299,Antwerp International Airport (Deurne),288,ANR,EBAW
300,Beauvechain Air Base,289,\N,EBBE
301,Kleine Brogel Air Base,290,\N,EBBL
302,Brussels Airport,291,BRU,EBBR
303,Jehonville Air Base,292,\N,EBBX
304,Brussels South Charleroi Airport,293,CRL,EBCI
305,Chièvres Air Base,294,\N,EBCV
306,Koksijde Air Base,295,\N,EBFN
307,Florennes Air Base,296,\N,EBFS
308,Wevelgem Airport,297,KJK,EBKT
309,Liège Airport,298,LGG,EBLG
310,Ostend-Bruges International Airport,299,OST,EBOS
311,Zutendaal Air Base,300,\N,EBSL
312,Brustem Airfield Sint Truiden,301,\N,EBST
313,Saint Hubert Air Base,302,\N,EBSU
314,Ursel Air Base,303,\N,EBUL
315,Weelde Air Base,304,\N,EBWE
316,Zoersel (Oostmalle) Airfield,305,OBL,EBZR
317,Flugplatz Bautzen,306,\N,EDAB
318,Altenburg-Nobitz Airport,307,AOC,EDAC
319,Dessau Airfield,308,\N,EDAD
320,Eisenhüttenstadt Airfield,309,\N,EDAE
322,Großenhain Airport,310,\N,EDAK
323,Merseburg Airport,311,\N,EDAM
324,Halle-Oppin Airport,312,\N,EDAQ
325,Riesa-Göhlis Airport,313,IES,EDAU
326,Rechlin-Lärz Airport,314,REB,EDAX
327,Strausberg Airport,315,\N,EDAY
328,Schönhagen Airport,316,QXH,EDAZ
329,Barth Airport,317,BBH,EDBH
330,Jena-Schöngleina Airfield,318,\N,EDBJ
331,Kyritz Airport,319,\N,EDBK
332,"Magdeburg ""City"" Airport",320,ZMG,EDBM
333,Rothenburg/Görlitz Airport,321,\N,EDBR
334,Anklam Airfield,322,\N,EDCA
335,Cottbus-Drewitz Airport,323,CBU,EDCD
336,Kamenz Airport,324,\N,EDCM
337,Berlin-Schönefeld Airport,325,SXF,EDDB
338,Dresden Airport,326,DRS,EDDC
339,Erfurt Airport,327,ERF,EDDE
340,Frankfurt am Main Airport,328,FRA,EDDF
341,Münster Osnabrück Airport,329,FMO,EDDG
342,Hamburg Airport,330,HAM,EDDH
343,Berlin-Tempelhof International Airport,325,THF,EDDI
344,Cologne Bonn Airport,331,CGN,EDDK
345,Düsseldorf Airport,332,DUS,EDDL
346,Munich Airport,333,MUC,EDDM
347,Nuremberg Airport,334,NUE,EDDN
348,Leipzig/Halle Airport,335,LEJ,EDDP
349,Saarbrücken Airport,336,SCN,EDDR
350,Stuttgart Airport,337,STR,EDDS
351,Berlin-Tegel Airport,325,TXL,EDDT
352,Hannover Airport,338,HAJ,EDDV
353,Bremen Airport,339,BRE,EDDW
354,Frankfurt-Egelsbach Airport,340,QEF,EDFE
355,Frankfurt-Hahn Airport,341,HHN,EDFH
356,Mannheim-City Airport,342,MHG,EDFM
357,Allendorf/Eder Airport,343,\N,EDFQ
358,Worms Airport,344,\N,EDFV
359,Mainz-Finthen Airport,345,\N,EDFZ
360,Eisenach-Kindel Airport,346,EIB,EDGE
361,Siegerland Airport,347,SGE,EDGS
362,Hamburg-Finkenwerder Airport,330,XFW,EDHI
363,Kiel-Holtenau Airport,348,KEL,EDHK
364,Lübeck Blankensee Airport,349,LBC,EDHL
365,Flugplatz Dahlemer Binz,350,\N,EDKV
366,Meinerzhagen Airport,351,\N,EDKZ
367,Arnsberg-Menden Airport,352,\N,EDLA
368,Essen Mulheim Airport,353,ESS,EDLE
369,Bielefeld Airport,354,BFE,EDLI
370,Mönchengladbach Airport,355,MGL,EDLN
371,Paderborn Lippstadt Airport,356,PAD,EDLP
372,Stadtlohn-Vreden Airport,357,\N,EDLS
373,Dortmund Airport,358,DTM,EDLW
374,Augsburg Airport,359,AGB,EDMA
375,Biberach a.d. Riß Airfield,360,\N,EDMB
376,Eggenfelden Airport,361,\N,EDME
377,Mindelheim-Mattsies Airfield,362,\N,EDMN
378,Oberpfaffenhofen Airport,363,OBF,EDMO
379,Straubing Airport,364,RBM,EDMS
380,Vilshofen Airport,365,\N,EDMV
381,Leutkirch-Unterzeil Airport,366,\N,EDNL
382,Friedrichshafen Airport,367,FDH,EDNY
383,Schwerin Parchim Airport,368,SZW,EDOP
384,Stendal-Borstel Airport,369,\N,EDOV
385,Aalen-Heidenheim/Elchingen Airport,370,\N,EDPA
386,Bayreuth Airport,371,BYU,EDQD
387,Burg Feuerstein Airport,372,URD,EDQE
388,Hof-Plauen Airport,373,HOQ,EDQM
389,Haßfurt-Schweinfurt Airport,374,\N,EDQT
390,Koblenz-Winningen Airfield,375,\N,EDRK
391,Trier-Föhren Airport,376,\N,EDRT
392,Speyer Airfield,377,\N,EDRY
393,Zweibrücken Airport,378,ZQW,EDRZ
394,Donaueschingen-Villingen Airport,379,ZQL,EDTD
395,Freiburg i. Br. Airport,380,\N,EDTF
396,Mengen-Hohentengen Airport,381,\N,EDTM
397,Adolf Würth Airport,382,\N,EDTY
398,Finsterwalde/Schacksdorf Airport,383,\N,EDUS
399,Braunschweig-Wolfsburg Airport,384,BWE,EDVE
400,Kassel-Calden Airport,385,KSF,EDVK
401,Hildesheim Airport,386,\N,EDVM
402,Bremerhaven Airport,387,BRV,EDWB
403,Emden Airport,388,EME,EDWE
404,Leer-Papenburg Airport,389,\N,EDWF
405,Wilhelmshaven-Mariensiel Airport,390,WVN,EDWI
406,Borkum Airport,391,BMK,EDWR
407,Norderney Airport,392,NRD,EDWY
408,Flensburg-Schäferhaus Airport,393,FLF,EDXF
409,Rendsburg-Schachtholm Airport,394,\N,EDXR
410,Westerland Sylt Airport,395,GWT,EDXW
411,Ämari Air Base,396,\N,EEEI
412,Kärdla Airport,397,KDL,EEKA
413,Kuressaare Airport,398,URE,EEKE
414,Pärnu Airport,399,EPU,EEPU
415,Lennart Meri Tallinn Airport,400,TLL,EETN
416,Tartu Airport,401,TAY,EETU
417,Enontekio Airport,402,ENF,EFET
418,Eura Airport,403,\N,EFEU
419,Halli Airport,404,KEV,EFHA
420,Helsinki Malmi Airport,405,HEM,EFHF
421,Helsinki Vantaa Airport,405,HEL,EFHK
422,Hameenkyro Airport,406,\N,EFHM
423,Hanko Airport,407,\N,EFHN
424,Hyvinkää Airfield,408,HYV,EFHV
425,Kiikala Airport,409,\N,EFIK
426,Immola Airport,410,\N,EFIM
427,Kitee Airport,411,KTQ,EFIT
428,Ivalo Airport,412,IVL,EFIV
429,Joensuu Airport,413,JOE,EFJO
430,Jyvaskyla Airport,414,JYV,EFJY
431,Kauhava Airport,415,KAU,EFKA
432,Kemi-Tornio Airport,416,KEM,EFKE
433,Kajaani Airport,417,KAJ,EFKI
434,Kauhajoki Airport,418,KHJ,EFKJ
435,Kokkola-Pietarsaari Airport,419,KOK,EFKK
436,Kemijarvi Airport,420,\N,EFKM
437,Kuusamo Airport,421,KAO,EFKS
438,Kittilä Airport,422,KTT,EFKT
439,Kuopio Airport,423,KUO,EFKU
440,Lahti Vesivehmaa Airport,424,QLF,EFLA
441,Lappeenranta Airport,425,LPP,EFLP
442,Mariehamn Airport,426,MHQ,EFMA
443,Menkijarvi Airport,427,\N,EFME
444,Mikkeli Airport,428,MIK,EFMI
445,Nummela Airport,429,\N,EFNU
446,Oulu Airport,430,OUL,EFOU
447,Piikajarvi Airport,431,\N,EFPI
448,Pori Airport,432,POR,EFPO
449,Pudasjärvi Airport,433,\N,EFPU
450,Pyhäsalmi Airport,434,\N,EFPY
451,Raahe Pattijoki Airport,435,\N,EFRH
452,Rantasalmi Airport,436,\N,EFRN
453,Rovaniemi Airport,437,RVN,EFRO
454,Rayskala Airport,438,\N,EFRY
455,Savonlinna Airport,439,SVL,EFSA
456,Selanpaa Airport,440,\N,EFSE
457,Sodankyla Airport,441,SOT,EFSO
458,Tampere-Pirkkala Airport,442,TMP,EFTP
459,Teisko Airport,443,\N,EFTS
460,Turku Airport,444,TKU,EFTU
461,Utti Air Base,445,UTI,EFUT
462,Vaasa Airport,446,VAA,EFVA
463,Varkaus Airport,447,VRK,EFVR
464,Ylivieska Airfield,448,YLI,EFYL
465,Belfast International Airport,449,BFS,EGAA
466,St Angelo Airport,450,ENK,EGAB
467,George Best Belfast City Airport,449,BHD,EGAC
468,City of Derry Airport,451,LDY,EGAE
469,Birmingham International Airport,452,BHX,EGBB
470,Coventry Airport,453,CVT,EGBE
471,Leicester Airport,454,\N,EGBG
472,Gloucestershire Airport,455,GLO,EGBJ
474,Wolverhampton Halfpenny Green Airport,456,\N,EGBO
475,Cotswold Airport,457,GBA,EGBP
476,Turweston Airport,458,\N,EGBT
477,Wellesbourne Mountford Airport,459,\N,EGBW
478,Manchester Airport,460,MAN,EGCC
479,Manchester Woodford Airport,461,\N,EGCD
480,Royal Marines Base Chivenor Airport,462,\N,EGDC
481,Newquay Cornwall Airport,463,NQY,EGHQ
482,RAF Lyneham,464,LYE,EGDL
483,MoD Boscombe Down Airport,465,\N,EGDM
484,RNAS Culdrose,466,\N,EGDR
485,MoD St. Athan,467,\N,EGDX
486,RNAS Yeovilton,468,YEO,EGDY
487,Haverfordwest Airport,469,HAW,EGFE
488,Cardiff International Airport,470,CWL,EGFF
489,Swansea Airport,471,SWS,EGFH
490,Bristol Airport,472,BRS,EGGD
491,Liverpool John Lennon Airport,473,LPL,EGGP
492,London Luton Airport,474,LTN,EGGW
493,Plymouth City Airport,475,PLH,EGHD
494,Bournemouth Airport,476,BOH,EGHH
495,Southampton Airport,477,SOU,EGHI
496,Lasham Airport,478,QLA,EGHL
497,Alderney Airport,479,ACI,EGJA
498,Guernsey Airport,480,GCI,EGJB
499,Jersey Airport,481,JER,EGJJ
500,Shoreham Airport,482,ESH,EGKA
501,London Biggin Hill Airport,483,BQH,EGKB
502,London Gatwick Airport,474,LGW,EGKK
503,London City Airport,474,LCY,EGLC
504,Farnborough Airport,484,FAB,EGLF
505,Chalgrove Airport,485,\N,EGLJ
506,Blackbushe Airport,486,BBS,EGLK
507,London Heathrow Airport,474,LHR,EGLL
508,Southend Airport,487,SEN,EGMC
509,Lydd Airport,488,LYX,EGMD
510,Kent International Airport,489,MSE,EGMH
511,Brough Airport,490,\N,EGNB
512,Carlisle Airport,491,CAX,EGNC
513,Retford Gamston Airport,492,\N,EGNE
514,Blackpool International Airport,493,BLK,EGNH
515,Humberside Airport,494,HUY,EGNJ
516,Barrow Walney Island Airport,495,BWF,EGNL
517,Leeds Bradford Airport,496,LBA,EGNM
518,Warton Airport,497,WRT,EGNO
519,Hawarden Airport,498,CEG,EGNR
520,Isle of Man Airport,499,IOM,EGNS
521,Newcastle Airport,500,NCL,EGNT
522,Durham Tees Valley Airport,501,MME,EGNV
523,East Midlands Airport,502,EMA,EGNX
524,Llanbedr Airport,503,\N,EGOD
525,RAF Ternhill,504,\N,EGOE
526,RAF Shawbury,505,\N,EGOS
528,RAF Woodvale,506,\N,EGOW
529,Kirkwall Airport,507,KOI,EGPA
530,Sumburgh Airport,508,LSI,EGPB
531,Wick Airport,509,WIC,EGPC
532,Aberdeen Dyce Airport,510,ABZ,EGPD
533,Inverness Airport,511,INV,EGPE
534,Glasgow International Airport,512,GLA,EGPF
535,Edinburgh Airport,513,EDI,EGPH
536,Islay Airport,514,ILY,EGPI
537,Glasgow Prestwick Airport,515,PIK,EGPK
538,Benbecula Airport,516,BEB,EGPL
539,Scatsta Airport,517,SCS,EGPM
540,Dundee Airport,518,DND,EGPN
541,Stornoway Airport,519,SYY,EGPO
542,Tiree Airport,520,TRE,EGPU
543,RAF Leuchars,521,ADX,EGQL
544,RAF Lossiemouth,522,LMO,EGQS
545,Cambridge Airport,523,CBG,EGSC
546,Peterborough Business Airport,524,\N,EGSF
547,Norwich International Airport,525,NWI,EGSH
548,London Stansted Airport,474,STN,EGSS
549,North Weald Airport,526,\N,EGSX
550,Sheffield City Heliport,527,\N,EGSY
551,Cranfield Airport,528,\N,EGTC
552,Exeter International Airport,529,EXT,EGTE
553,Bristol Filton Airport,472,FZO,EGTG
554,Oxford (Kidlington) Airport,530,OXF,EGTK
555,RAF Benson,531,BEX,EGUB
556,RAF Lakenheath,532,LKZ,EGUL
557,RAF Mildenhall,533,MHZ,EGUN
558,RAF Wattisham,534,\N,EGUW
559,RAF Wyton,535,QUY,EGUY
560,RAF Fairford,536,FFD,EGVA
561,RAF Brize Norton,537,BZZ,EGVN
562,RAF Odiham,538,ODH,EGVO
563,DCAE Cosford Air Base,539,\N,EGWC
564,RAF Northolt,540,NHT,EGWU
565,RAF Coningsby,541,QCY,EGXC
566,RAF Dishforth,542,\N,EGXD
567,Leeming Airport,543,\N,EGXE
568,Leeds East Airport,544,\N,EGXG
569,RAF Honington,545,BEQ,EGXH
570,RAF Cottesmore,546,\N,EGXJ
571,RAF Scampton,547,SQZ,EGXP
572,RAF Wittering,548,\N,EGXT
573,RAF Linton-On-Ouse,549,HRT,EGXU
574,RAF Waddington,550,WTN,EGXW
575,RAF Topcliffe,551,\N,EGXZ
576,RAF Cranwell,552,\N,EGYD
577,RAF Barkston Heath,553,\N,EGYE
578,RAF Marham,554,KNF,EGYM
579,Mount Pleasant Airport,555,MPN,EGYP
580,Amsterdam Airport Schiphol,556,AMS,EHAM
581,Budel Airfield Kempen,557,\N,EHBD
582,Maastricht Aachen Airport,558,MST,EHBK
583,Deelen Air Base,559,\N,EHDL
584,Drachten Airport,560,\N,EHDR
585,Eindhoven Airport,561,EIN,EHEH
586,Eelde Airport,562,GRQ,EHGG
587,Gilze Rijen Air Base,563,GLZ,EHGR
588,De Kooy Airport,564,DHR,EHKD
